time,X_value,Y_value,Z_value
37.26,-1.57453,4.43677,-16.09228
37.382,-1.53289,4.34204,-16.06213
37.471,-1.37663,4.50728,-16.06044
37.564,-1.56365,4.30817,-16.01868
37.68,-1.6471,4.26672,-15.9913
37.743,-1.66121,4.57201,-15.98004
37.885,-1.83669,4.6324,-15.94718
37.984,-1.97154,4.82071,-15.9275
38.052,-2.00869,5.01342,-15.90179
38.175,-1.90613,4.97271,-15.89094
38.289,-1.87566,5.23984,-15.87199
38.341,-1.89919,5.08099,-15.87214
38.46,-1.87023,4.94735,-15.84669
38.587,-1.86996,5.05952,-15.83617
38.643,-1.91673,5.28371,-15.83233
38.762,-1.99029,5.35095,-15.82131
38.883,-2.03673,5.40048,-15.82403
38.943,-1.78533,5.79847,-15.85081
39.061,-1.84217,5.95488,-15.84295
39.182,-1.98591,5.76628,-15.8397
39.249,-2.03565,5.70575,-15.83705
39.362,-2.12803,5.51425,-15.84257
39.485,-2.17708,5.34667,-15.84682
39.554,-2.17391,5.27456,-15.84821
39.669,-2.16985,5.17008,-15.84762
39.783,-2.19836,5.00749,-15.85072
39.845,-2.14011,5.04142,-15.85709
39.989,-2.12422,4.87597,-15.82229
40.091,-1.99477,4.86098,-15.82082
40.144,-1.87479,4.94596,-15.83888
40.264,-1.91752,4.67549,-15.80695
40.412,-1.87384,4.71801,-15.81108
40.445,-1.91354,4.52517,-15.79963
40.562,-1.94802,4.7258,-15.78506
40.685,-1.95074,4.59464,-15.77498
40.742,-1.90446,4.52384,-15.78087
40.862,-1.90711,4.0143,-15.76798
40.929,-2.04965,3.34735,-15.75238
41.045,-2.12756,3.15377,-15.72639
41.164,-2.27233,3.01854,-15.70726
41.286,-2.34799,3.10013,-15.66186
41.35,-2.41634,3.11316,-15.64783
41.466,-2.43444,2.78457,-15.60552
41.584,-2.46678,2.47147,-15.5805
41.65,-2.45889,2.50989,-15.56814
41.768,-2.34569,2.29146,-15.56453
41.886,-2.38899,2.14737,-15.53182
41.943,-2.34165,2.14846,-15.52341
42.073,-2.34769,2.08988,-15.50574
42.124,-2.33433,1.96156,-15.49842
42.246,-2.43102,1.74099,-15.48006
42.367,-2.50135,1.6954,-15.45615
42.516,-2.47462,1.58854,-15.4249
42.545,-2.49562,1.35539,-15.42333
42.665,-2.55301,1.36463,-15.41187
42.724,-2.50184,1.35757,-15.40658
42.848,-2.20881,1.37573,-15.35825
42.964,-2.25784,1.30771,-15.36168
43.027,-2.36167,0.92869,-15.37527
43.149,-2.26004,0.98661,-15.37867
43.265,-2.49695,1.39313,-15.3284
43.332,-2.71612,1.18656,-15.34441
43.45,-2.85545,1.00203,-15.3442
43.568,-2.94892,0.82364,-15.32578
43.628,-2.95999,0.89373,-15.32168
43.747,-2.97248,1.01004,-15.32187
43.873,-2.91558,0.87592,-15.31167
43.928,-2.82724,0.96016,-15.31272
44.054,-2.78427,0.96906,-15.29411
44.191,-2.67297,1.0541,-15.26933
44.23,-2.52447,1.11395,-15.249
44.348,-2.12737,1.30381,-15.18677
44.468,-1.97322,1.44842,-15.16023
44.529,-1.9191,1.64357,-15.1492
44.647,-1.86743,1.81453,-15.11188
44.771,-1.79968,2.01733,-15.07261
44.83,-1.82775,2.11938,-15.05681
44.949,-1.90175,2.20015,-15.04925
45.067,-1.9062,2.305,-15.03001
45.137,-1.93704,2.47294,-15.00777
45.251,-2.1785,2.48258,-14.99453
45.372,-2.25748,2.41036,-14.97528
45.454,-2.33563,2.47254,-14.97344
45.551,-2.43975,2.54157,-14.96998
45.669,-2.58697,2.82016,-14.96297
45.729,-2.60395,2.78393,-14.94215
45.872,-2.5817,2.74827,-14.92377
45.987,-2.37426,2.88078,-14.89485
46.03,-2.31313,2.98812,-14.89337
46.153,-1.98435,2.97091,-14.95076
46.276,-1.61606,3.20036,-15.08538
46.33,-1.48756,3.34029,-15.1373
46.451,-1.4522,3.37458,-15.22218
46.571,-1.41384,3.53831,-15.34891
46.627,-1.39706,3.64737,-15.40002
46.749,-1.43247,3.78436,-15.5602
46.868,-1.52744,3.81969,-15.66259
46.93,-1.63957,4.02686,-15.71843
47.049,-1.77577,4.46342,-15.81326
47.172,-1.95252,5.01124,-15.80811
47.233,-1.96048,5.05146,-15.81174
47.354,-1.88655,5.26901,-15.83496
47.471,-1.70784,5.37908,-15.85114
47.552,-1.71827,5.40786,-15.83977
47.662,-1.7586,5.7284,-15.8688
47.776,-1.74929,6.03678,-15.89502
47.841,-1.76266,6.33144,-15.89887
47.982,-1.75496,7.04168,-15.89559
48.078,-1.70019,7.57815,-15.8988
48.135,-1.48267,7.8993,-15.90435
48.252,-1.50809,8.27257,-15.92138
48.403,-1.41883,8.46479,-15.96323
48.431,-1.4132,8.3772,-15.96765
48.55,-1.48185,8.16631,-15.95045
48.673,-1.62052,8.1477,-15.98417
48.731,-1.67921,8.14248,-15.98164
48.852,-1.76572,8.26601,-15.99694
48.975,-1.78587,8.23883,-16.01529
49.045,-1.8994,8.18241,-15.99775
49.152,-2.07972,8.2464,-15.90006
49.272,-2.13593,8.37221,-15.84855
49.335,-2.16643,8.43012,-15.80991
49.481,-2.154,8.45762,-15.73443
49.586,-2.23567,8.46181,-15.65176
49.631,-2.28636,8.52271,-15.62237
49.751,-2.32115,8.60751,-15.5711
49.911,-2.27222,8.66179,-15.51461
49.936,-2.31328,8.67332,-15.47925
50.054,-2.34109,8.62106,-15.39757
50.172,-2.36463,8.64721,-15.34014
50.236,-2.35514,8.72899,-15.31168
50.352,-2.36813,8.89025,-15.26428
50.473,-2.25951,9.22125,-15.21128
50.533,-2.23772,9.42841,-15.18973
50.653,-2.05368,9.90653,-15.21021
50.772,-1.98431,10.24996,-15.21427
50.841,-1.88337,10.39784,-15.24057
50.953,-1.93627,10.65507,-15.25653
51.076,-1.81498,10.88614,-15.27857
51.161,-1.78095,11.01859,-15.27941
51.268,-1.73206,11.18161,-15.29833
51.375,-1.7754,11.54183,-15.28957
51.436,-1.78677,11.66194,-15.29088
51.563,-1.8404,11.98127,-15.34019
51.677,-1.86686,12.25689,-15.3539
51.734,-1.90566,12.3717,-15.36401
51.861,-1.96467,12.61248,-15.35275
51.975,-1.84093,12.68208,-15.33639
52.037,-1.74248,12.80851,-15.3485
52.155,-1.66603,12.92394,-15.35142
52.276,-1.75939,12.99411,-15.3387
52.335,-1.81102,12.97196,-15.33538
52.456,-1.90687,12.84906,-15.30357
52.573,-1.87782,12.74092,-15.32344
52.637,-1.83129,12.74796,-15.32748
52.758,-1.67224,12.67752,-15.32221
52.875,-1.56307,12.67402,-15.33727
52.956,-1.53648,12.65703,-15.34142
53.082,-1.65091,12.66412,-15.3293
53.186,-1.71009,12.57023,-15.3118
53.236,-1.72422,12.40944,-15.30753
53.358,-1.74211,12.13837,-15.32269
53.5,-1.67921,11.99971,-15.28594
53.538,-1.60993,11.95718,-15.28169
53.655,-1.51336,11.75476,-15.29055
53.775,-1.49334,11.39776,-15.29109
53.838,-1.48944,11.24114,-15.30165
53.959,-1.37234,10.2433,-15.30443
54.076,-1.29797,9.33584,-15.27484
54.141,-1.34729,8.95609,-15.30782
54.26,-1.67697,8.30691,-15.36054
54.378,-2.07012,7.92041,-15.29475
54.468,-2.2546,7.87094,-15.26418
54.561,-2.25322,7.82192,-15.27476
54.676,-2.10297,7.78461,-15.23908
54.736,-1.93446,7.81782,-15.20701
54.878,-1.69618,7.71503,-15.2199
55.013,-1.85264,7.35896,-15.26143
55.042,-2.00343,7.00319,-15.23955
55.157,-2.26099,6.19039,-15.25505
55.277,-2.28122,5.50691,-15.28008
55.34,-2.20909,5.276,-15.26343
55.457,-2.28779,5.34463,-15.238
55.581,-2.30685,5.76118,-15.27825
55.639,-2.26284,5.95877,-15.25221
55.759,-2.1169,6.37468,-15.1453
55.881,-2.34204,6.01498,-15.17702
55.943,-2.5012,5.47843,-15.17445
56.058,-2.85503,4.03776,-15.1678
56.178,-3.02585,2.30542,-15.30481
56.261,-2.94819,1.80211,-15.32282
56.374,-2.57175,2.25669,-15.2129
56.478,-2.54064,2.41976,-15.2084
56.538,-2.66314,2.31479,-15.20602
56.659,-2.84552,1.94881,-15.1823
56.781,-2.99045,1.45687,-15.16062
56.842,-3.01387,0.94012,-15.15859
56.959,-3.07085,0.44787,-15.13597
57.09,-3.01878,0.27466,-15.11874
57.143,-3.18281,0.10352,-15.1218
57.258,-3.30026,-0.16679,-15.10854
57.383,-3.26472,-0.50841,-15.13198
57.437,-3.1575,-0.80814,-15.13323
57.56,-2.92051,-1.18567,-15.14391
57.682,-2.90997,-1.50312,-15.19361
57.741,-2.94079,-1.6516,-15.21197
57.86,-2.82376,-1.42191,-15.25563
57.978,-2.76994,-0.98279,-15.31537
58.045,-2.77143,-0.8494,-15.32775
58.161,-2.77728,-0.5162,-15.367
58.281,-2.69619,-0.16526,-15.45467
58.365,-2.6363,-0.08473,-15.47694
58.467,-2.5571,0.12276,-15.5376
58.599,-2.52735,0.39081,-15.58493
58.645,-2.48793,0.44044,-15.58829
58.773,-2.38006,0.6396,-15.67045
58.887,-2.30859,0.95062,-15.73746
58.943,-2.25903,0.97504,-15.76135
59.06,-2.31197,1.09603,-15.81141
59.186,-2.33139,1.32126,-15.86929
59.245,-2.31879,1.43698,-15.94919
59.361,-2.216,1.63456,-16.02361
59.485,-2.18985,1.82846,-16.07236
59.542,-2.17397,1.83617,-16.10544
59.662,-2.16478,1.90433,-16.16533
59.782,-2.26537,1.97314,-16.27854
59.856,-2.18856,1.87912,-16.32209
59.965,-2.1858,1.72932,-16.39692
60.086,-2.29643,1.3443,-16.47341
60.148,-2.33938,1.31118,-16.52184
60.27,-2.35979,1.00098,-16.64436
60.382,-2.43606,0.78315,-16.74887
60.452,-2.43651,0.8048,-16.79732
60.563,-2.37143,0.93496,-16.84184
60.686,-2.21244,1.21474,-16.96454
60.741,-2.17943,1.23419,-17.00583
60.861,-2.12924,1.19571,-17.0449
61.008,-2.1868,1.08429,-17.10194
61.041,-2.20934,1.04263,-17.13152
61.165,-2.13569,0.90714,-17.16006
61.287,-2.04402,0.7474,-17.14919
61.342,-2.05562,0.56814,-17.14501
61.464,-2.16108,0.21977,-17.14561
61.585,-1.95811,0.04632,-17.15638
61.66,-2.02194,-0.3022,-17.13595
61.768,-1.9637,-0.37391,-17.12208
61.885,-2.17236,-0.70441,-17.0684
61.947,-2.21685,-0.63917,-17.03317
62.072,-2.06771,-0.74416,-16.93576
62.124,-1.94838,-1.11527,-16.85025
62.245,-1.78725,-1.38589,-16.78483
62.378,-1.92168,-1.47511,-16.70641
62.487,-1.78085,-1.51736,-16.65148
62.544,-1.81276,-1.61471,-16.64654
62.666,-1.76524,-1.90996,-16.5319
62.784,-1.85569,-1.96114,-16.44666
62.844,-1.83265,-2.05523,-16.41472
62.965,-1.84233,-1.97637,-16.3376
63.092,-1.95479,-1.84264,-16.23288
63.151,-2.056,-1.89248,-16.21875
63.266,-1.94177,-2.16315,-16.1187
63.325,-1.98476,-2.37837,-16.07636
63.448,-2.13475,-2.65294,-16.01648
63.571,-2.04152,-2.87073,-15.86197
63.692,-2.00906,-3.11519,-15.80467
63.745,-2.03859,-3.1946,-15.76132
63.869,-2.00373,-3.30019,-15.66148
63.99,-2.21139,-3.27922,-15.59633
64.048,-2.2806,-3.42633,-15.51198
64.164,-2.60941,-3.45574,-15.47276
64.226,-2.57825,-3.35253,-15.42432
64.347,-2.95744,-3.41853,-15.34594
64.464,-3.30024,-3.33826,-15.28503
64.532,-3.43411,-3.22666,-15.21025
64.646,-3.59849,-2.99384,-15.15395
64.766,-3.74254,-2.86737,-15.12022
64.825,-3.82776,-2.9164,-15.10521
64.949,-3.85886,-2.90091,-15.07271
65.072,-3.8398,-2.46602,-15.02175
65.128,-3.847,-2.53951,-15.00877
65.254,-3.86572,-2.75306,-14.99329
65.397,-3.68826,-2.82345,-14.96612
65.427,-3.62173,-2.82136,-14.95464
65.546,-3.48218,-2.83303,-14.9227
